Id,GeographicCode,GeographicName,CSDType,ProvinceTerritory,GeographicCodeProvinceTerritory,GeographicCodeCensusDivision,Population2016,Population2011,PopulationPercentChange,TotalPrivateDwellings2016,TotalPrivateDwellings2011,TotalPrivateDwellingsPercentChange,PrivateDwellingsOccupiedByUsualResidents2016,PrivateDwellingsOccupiedByUsualResidents2011,PrivateDwellingsOccupiedByUsualResidentsPercentChange,LandAreaInSquareKilometres2016,PopulationDensityPerSquareKilometre2016,NationalPopulationRank2016,ProvincialTerritorialPopulationRank2016
Toronto-ON,3520005,Toronto,City,Ontario,35,3520,2731571,2615060,4.5,1179057,1107851,6.4,1112929,1047877,6.2,630.2,4334.4,1,1
Montreal-QC,2466023,Montréal,Ville,Quebec,24,2466,1704694,1649519,3.3,843872,813819,3.7,779802,759946,2.6,365.65,4662.1,2,1
Calgary-AB,4806016,Calgary,City,Alberta,48,4806,1239220,1096833,13,489650,445848,9.8,466725,423417,10.2,825.56,1501.1,3,1
Ottawa-ON,3506008,Ottawa,City,Ontario,35,3506,934243,883391,5.8,395985,370217,7,373756,353244,5.8,2790.3,334.8,4,2
Edmonton-AB,4811061,Edmonton,City,Alberta,48,4811,932546,812201,14.8,387950,348672,11.3,360828,324756,11.1,685.25,1360.9,5,2
Mississauga-ON,3521005,Mississauga,City,Ontario,35,3521,721599,713443,1.1,248469,242538,2.4,240913,234582,2.7,292.43,2467.6,6,3
Winnipeg-MN,4611040,Winnipeg,City,Manitoba,46,4611,705244,663617,6.3,294245,280489,4.9,281046,268753,4.6,464.33,1518.8,7,1
Vancouver-BC,5915022,Vancouver,City,British Columbia,59,5915,631486,603502,4.6,309418,286742,7.9,283916,264573,7.3,114.97,5492.6,8,1
Brampton-ON,3521010,Brampton,City,Ontario,35,3521,593638,523906,13.3,173428,154661,12.1,168011,149270,12.6,266.36,2228.7,9,4
Hamilton-ON,3525005,Hamilton,City,Ontario,35,3525,536917,519949,3.3,222918,214542,3.9,211596,203806,3.8,1117.29,480.6,10,5
Quebec-City-QC,2423027,Québec,Ville,Quebec,24,2423,531902,516576,3,266409,255773,4.2,252043,245353,2.7,453.38,1173.2,11,2
Surrey-BC,5915004,Surrey,City,British Columbia,59,5915,517887,468251,10.6,181159,163986,10.5,169964,152847,11.2,316.41,1636.8,12,2
Laval-QC,2465005,Laval,Ville,Quebec,24,2465,422993,401553,5.3,165686,159509,3.9,160328,154456,3.8,247.23,1710.9,13,3
Halifax-NS,1209034,Halifax,Regional municipality,Nova Scotia,12,1209,403131,390086,3.3,187338,177156,5.7,173324,165030,5,5490.35,73.4,14,1
NaN,3539036,London,City,Ontario,35,3539,383822,366151,4.8,175558,168175,4.4,163140,153630,6.2,420.35,913.1,15,6
NaN,3519036,Markham,City,Ontario,35,3519,328966,301709,9,106131,93202,13.9,102676,90534,13.4,212.35,1549.2,16,7
Vaughan-ON,3519028,Vaughan,City,Ontario,35,3519,306233,288301,6.2,96657,88282,9.5,94253,86063,9.5,273.56,1119.4,17,8
